DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
TRF-GAA1-1	0	0	0	0
TRA-TGC1-1	0	0	1.03816070211214	0
NOP56P1	4.9366087001902	1.02072188441642	0	0
TRA-AGC23-1	0	0	0	0
TRF-GAA5-1	0	0	0	0
TRF-GAA6-1	0	0	0	0
TRA-TGC6-1	1.97464348007608	2.04144376883284	0	0
TRK-TTT7-1	23.6957217609129	4.08288753766568	30.106660361252	11.3827330216259
TRR-CCG1-1	20.7337565407988	13.2693844974135	20.7632140422428	11.3827330216259
TRV-AAC6-1	1.97464348007608	2.04144376883284	2.07632140422428	0
RPSAP2	0	0	0	0
TRA-CGC4-1	0.987321740038039	0	2.07632140422428	3.79424434054197
TRF-GAA11-1	0	0	0	0
TRT-AGT3-1	19.7464348007608	5.10360942208211	9.34344631900925	11.3827330216259
TRA-AGC7-1	3.94928696015216	4.08288753766568	11.4197677232335	5.69136651081296
TRA-AGC5-1	2.96196522011412	3.06216565324926	6.22896421267283	2.84568325540648
TRK-TTT13-1	0	0	1.03816070211214	0
LOC100288016	1.97464348007608	3.06216565324926	1.03816070211214	1.89712217027099
LOC105374297	2.96196522011412	6.12433130649853	4.15264280844856	6.63992759594845
SDHAP2	1154.17911410447	1226.90770506854	1250.98364604513	1480.7038538965
MIR570	89.8462783434616	99.0100227883928	99.6634274027654	125.210063237885
SMBD1P	467.990504778031	379.708541002909	365.432567143473	392.704289246094
MIR570HG	61.2139478823584	83.6991945221465	121.46480214712	83.4733754919233
LOC124905401	0	0	0	0
MUC20	14.8098261005706	21.4351595727448	16.6105712337942	6.63992759594845
MUC4	0.987321740038039	4.08288753766568	3.11448210633642	0.948561085135493
LOC112268340	0	0	0	0
LOC124905399	0	0	0	0
LYPLA2P1	16.7844695806467	28.5802127636598	30.106660361252	40.7881266608262
MYL12BP3	0	0	0	0
DAXX	6515.33616251102	6321.3306301909	6652.53377913459	6619.05925207547
ZBTB22	1816.67200166999	1641.32079014161	1508.44750016894	1607.81103930466
TAPBP	15678.6692318041	13052.9914579172	14738.767487886	14528.1615799352
RGL2	4632.51360425848	4713.69366223503	4279.29841410624	4894.57519929914
MIR6834	0	0	0	0
PFDN6	2826.70214172891	2627.33813048787	2982.63569716818	2681.58218767804
MIR6873	0	0	0	0
WDR46	5186.40110041982	5211.80594183025	5043.38469086077	5439.99782325205
B3GALT4	71.0871652827388	79.6163069844808	76.8238919562983	57.8622261932651
LOC105375022	50.35340874194	46.9532066831554	78.9002133605226	73.9877646405684
