transcript,MCF10A,MDAMB436
L1FLnI_9q21.33i,65.94034597,58.12124776
L1FLnI_9p22.2f,65.94034597,0
L1FLnI_8q11.21d,62.27699341,20.51338156
L1FLnI_6p12.1h,62.27699341,82.05352625
L1FLnI_4q12ia,62.27699341,85.47242318
L1FLnI_14q22.1j,62.27699341,85.47242318
L1FLnI_1p32.1f,62.27699341,44.44566005
L1FLnI_5q15qa,62.27699341,20.51338156
L1FLnI_2q33.1n,62.27699341,0
L1FLnI_9p24.1e,62.27699341,2755.630923
L1FLnI_7q21.11da,62.27699341,181.2015371
L1FLnI_4p11i,62.27699341,6.837793854
L1FLnI_2q11.2e,62.27699341,0
L1FLnI_4q13.3db,62.27699341,194.8771248
L1FLnI_3q25.31c,62.27699341,30.77007234
L1FLnI_1p31.2c,62.27699341,0
L1FLnI_15q15.1,58.61364086,246.1605788
L1FLnI_20p11.21t,58.61364086,748.738427
L1FLnI_2q33.1b,58.61364086,30.77007234
L1FLnI_3p25.1e,58.61364086,0
L1FLnI_15q15.3d,58.61364086,177.7826402
L1FLnI_2p23.3d,58.61364086,64.95904161
L1FLnI_6q14.1pa,58.61364086,126.4991863
L1FLnI_16q12.1c,58.61364086,41.02676313
L1FLnI_8q21.13ia,58.61364086,51.28345391
L1FLnI_Xq11.2m,58.61364086,355.5652804
L1FLnI_7q34b,58.61364086,188.039331
