"","count_MCF10A","count_MDAMB436"
"L1FLnI_8q11.23o",6.22870610101871,1.42045667459727
"L1FLnI_2q33.3d",6.22870610101871,4.35952223725987
"L1FLnI_Xq11.2y",6.22870610101871,4.35952223725987
"L1FLnI_7q21.13u",6.20123778289265,4.08636375790208
"L1FLnI_2p23.3a",6.20123778289265,7.37690532634064
"L1FLnI_15q26.1a",6.20123778289265,2.6616231926839
"L1FLnI_12p13.31p",6.20123778289265,1.42045667459727
"L1FLnI_6q25.3i",6.20123778289265,2.81621791638167
"L1FLnI_8q24.12k",6.20123778289265,5.74894773937613
"L1FLnI_7q31.1ga",6.17323620453505,4.35952223725987
"L1FLnI_7q22.1e",6.17323620453505,3.89348188790523
"L1FLnI_11q22.3aa",6.14468024586446,4.74943463561325
"L1FLnI_19q13.31b",6.14468024586446,6.00868343812272
"L1FLnI_2p16.1x",6.11554750641869,5.72984891411679
"L1FLnI_8q21.11n",6.11554750641869,6.6091523768638
"L1FLnI_8q22.1k",6.11554750641869,4.85902115989119
"L1FLnI_Xq21.1db",6.05545503637117,4.63082009711779
"L1FLnI_14q11.2j",6.05545503637117,4.30888347602661
"L1FLnI_18q12.1s",6.05545503637117,6.11554750641869
"L1FLnI_9q13h",6.05545503637117,4.5015523051724
"L1FLnI_18p11.22g",6.05545503637117,7.26196931687467
"L1FLnI_4q26ua",6.05545503637117,6.48935936917934
"L1FLnI_18q12.1q",6.02444309492708,2.48787940049565
"L1FLnI_14q21.1a",6.02444309492708,3.40655758966283
"L1FLnI_2q24.2d",6.02444309492708,5.28262873752586
"L1FLnI_3p22.1ea",6.02444309492708,2.28935193161896
"L1FLnI_4q21.21e",5.99274967807781,6.18730494240677
"L1FLnI_9q21.32i",5.99274967807781,6.90991304073519
"L1FLnI_1p22.1c",5.96034415302694,4.58900707674248
"L1FLnI_11q23.3k",5.96034415302694,2.0573398912941
"L1FLnI_10p14a",5.92719377335159,-0.451890008743207
"L1FLnI_15q24.3h",5.92719377335159,5.25617042230771
"L1FLnI_1p32.3h",5.89326347990668,4.74943463561325
"L1FLnI_15q23a",5.89326347990668,5.71049375848342
"L1FLnI_5p12l",5.89326347990668,2.6616231926839
"L1FLnI_7q11.23d",5.89326347990668,4.30888347602661
"L1FLnI_3q22.3e",5.89326347990668,4.25639721809243
"L1FLnI_2q34ra",5.89326347990668,4.02490274937343
"L1FLnI_2p24.1b",5.8585156777126,3.89348188790523
"L1FLnI_5q15o",5.8585156777126,5.8585156777126
"L1FLnI_Xp22.11a",5.82290998526257,4.30888347602661
"L1FLnI_3q13.33w",5.82290998526257,4.96085879988527
"L1FLnI_2q35h",5.82290998526257,4.35952223725987
"L1FLnI_6p22.3a",5.82290998526257,4.5015523051724
"L1FLnI_Xq28wa",5.82290998526257,4.82341050786874
"L1FLnI_6q16.3na",5.7864029520531,2.6616231926839
"L1FLI_1q25.3",5.7864029520531,5.60961836911965
"L1FLnI_3q13.13c",5.7864029520531,5.38385822206627
"L1FLnI_19p12m",5.7864029520531,0.915221551100886
"L1FLnI_5q14.1aa",5.7864029520531,4.35952223725987
"L1FLnI_18q22.2e",5.74894773937613,6.40759872991777
"L1FLnI_2p22.2g",5.74894773937613,3.40655758966283
"L1FLnI_Xq13.2z",5.74894773937613,5.84082270794839
"L1FLnI_2p16.3h",5.74894773937613,6.05545503637117
"L1FLnI_9q33.2c",5.74894773937613,4.89377288767662
"L1FLnI_10p15.3c",5.71049375848342,1.77717837243201
"L1FLI_7p14.3",5.71049375848342,5.20175088417922
"L1FLnI_7q32.3a",5.71049375848342,3.40655758966283
"L1FLnI_4q21.21l",5.71049375848342,6.00868343812272
"L1FLnI_5q32aa",5.67098625910136,-0.451890008743207
"L1FLnI_13q14.11g",5.67098625910136,7.98407702532257
"L1FLnI_3q26.32t",5.67098625910136,2.48787940049565
"L1FLnI_1p11.2c",5.67098625910136,3.96069487582865
"L1FLnI_1p13.1b",5.67098625910136,2.48787940049565
"L1FLnI_20p13i",5.67098625910136,3.50009131836213
"L1FLnI_9q21.12h",5.63036585988601,6.48935936917934
"L1FLnI_1p12u",5.63036585988601,6.62990310759571
"L1FLnI_Xq22.3z",5.63036585988601,5.28262873752586
"L1FLnI_2q32.1ma",5.63036585988601,7.81770414797468
"L1FLnI_10q11.21s",5.63036585988601,4.45574862133805
"L1FLnI_10q21.1p",5.63036585988601,2.0573398912941
"L1FLnI_2p21d",5.63036585988601,4.35952223725987
"L1FLnI_Xq24l",5.63036585988601,-0.451890008743207
"L1FLnI_6q13n",5.63036585988601,4.89377288767662
"L1FLnI_1p32.3g",5.63036585988601,4.1453041163462
"L1FLnI_7q32.2c",5.58856801069731,4.20192310992686
"L1FLnI_6q22.31d",5.58856801069731,4.5015523051724
"L1FLnI_3p14.2b",5.58856801069731,3.58788344595063
"L1FLnI_1q41aa",5.54552237445001,-0.451890008743207
"L1FLnI_4q28.1a",5.54552237445001,3.74880743302842
"L1FLnI_21q21.1b",5.54552237445001,6.07071449284109
"L1FLnI_5q35.1d",5.54552237445001,6.55593080146936
"L1FLnI_Xq13.2ia",5.50115211365373,4.71097162499218
"L1FLnI_8q11.21f",5.50115211365373,5.30861021573087
