baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCNB2	1830.80903689709	2.85830939144112	0.200021334995459	14.2900225693724	2.52527595068025e-46	3.6131307815688e-44
LAMA1	1044.28053822566	2.44110080899999	0.170895009974728	14.2842135025533	2.74490886093701e-46	3.90543792571753e-44
AURKB	846.928587233614	3.17553894277936	0.223727998305672	14.1937485108177	1.00158550732746e-45	1.41713220558977e-43
SLC16A2	2393.6567000369	1.90709687860222	0.134366426944382	14.1932543863179	1.00866944850579e-45	1.41927035991964e-43
CLYBL	1110.73502206758	-2.34950091828886	0.165598677927965	-14.187920747235	1.08838154434115e-45	1.52301654787255e-43
MAOA	28694.4672201345	-1.60402567598623	0.113066511866198	-14.1865672648008	1.10958761999249e-45	1.54420642109118e-43
ENC1	1055.31454173463	3.26462524887621	0.230548354748068	14.1602626158128	1.61389904662197e-45	2.2338467890961e-43
OPLAH	13802.8463395104	-1.63634882276337	0.115599317258392	-14.1553502353803	1.73073321966751e-45	2.3826115480266e-43
GGH	1661.52989567297	2.11160557929995	0.149298143573005	14.1435487995026	2.04695821020655e-45	2.80279202674948e-43
TMC4	4671.25992489871	-1.83376524746768	0.129676629819095	-14.1410618862155	2.12060136579423e-45	2.88810029861216e-43
LOC124900275	3873.39280332925	-1.79307726091415	0.126812170571682	-14.1396307060339	2.16417087301042e-45	2.9317608400973e-43
SGO2	1252.56596370481	2.57643858502962	0.182812485185598	14.0933404106066	4.17344010293969e-45	5.6237657429454e-43
HELLS	6300.36495775182	2.009855207924	0.142643834131614	14.0900251325939	4.37405921185759e-45	5.86308105303101e-43
PSAT1	38085.2789827019	-1.6318681448946	0.116072222314784	-14.0590755682184	6.7765625503142e-45	9.03588979221999e-43
LOC107984123	878.350294156324	-2.8611209674323	0.204171623353431	-14.0133135077227	1.29231873113194e-44	1.71420695023272e-42
LOC124903996	1577.97866539456	-2.16977564364683	0.155101175635814	-13.9894210005318	1.80878490896786e-44	2.38684632443489e-42
MCM2	5675.14120129378	2.05927293264598	0.14738017942182	13.9725229045358	2.29355655343533e-44	3.01094321148922e-42
NTSR1	835.951330730427	2.75755311797411	0.198216506857543	13.9118238016169	5.36926519353603e-44	7.01253568969105e-42
SERPINF1	986.419124271121	-3.08345931621275	0.221780754609854	-13.9031870535251	6.05825276944475e-44	7.87201946592953e-42
UBASH3B	992.854248927677	2.53313137392499	0.182562425885565	13.8754256887056	8.92615822420095e-44	1.15396648555304e-41
PYCR1	6682.59922409846	-1.8855341033756	0.135932267379126	-13.8711296422114	9.47723743764941e-44	1.21902163162654e-41
CAPN8	929.090265940146	2.44168890484984	0.17613016196859	13.8629799550475	1.06173214317223e-43	1.35880372976434e-41
GFPT2	9020.99720325618	-1.67045285831409	0.120611950018141	-13.8498122123292	1.27545092212177e-43	1.62415920422986e-41
KIF4A	1688.59404006201	2.71477358801953	0.196121240856745	13.8423231270625	1.41556612976681e-43	1.79361384044284e-41
FHOD3	2064.75404154546	1.93778671408944	0.140740231871992	13.7685343296288	3.94128092867729e-43	4.96913577680957e-41
WDR62	932.21014333011	2.68749032546221	0.195456157653419	13.7498370873925	5.10443366647944e-43	6.40392692699007e-41
FOXM1	2831.80408623034	2.79405186524524	0.203340631087662	13.7407455180008	5.78767343612936e-43	7.22551309173248e-41
NCAPG	2071.09165174946	2.48323405205717	0.180734193811696	13.7397024862069	5.87165774677642e-43	7.2946038778001e-41
BDKRB2	2011.36374174872	2.07849993851529	0.151391154444581	13.7293354168599	6.77521251832853e-43	8.3762675930481e-41
BDKRB1	291.666970540471	4.28221075084726	0.312025728348293	13.7239027483891	7.30263022066819e-43	8.98470465990229e-41
ORC6	889.156684122715	3.01641827859914	0.221585217795195	13.6129039139566	3.3563783229077e-42	4.10962707345257e-40
PTPRZ1	432.802697249346	3.30186192615386	0.242716147434173	13.6037999987181	3.8015685299911e-42	4.63245680965614e-40
CKAP2L	1396.16076812314	2.63572813262292	0.194056336471222	13.5822832717126	5.10110790913621e-42	6.18642934428005e-40
LINC01164	384.655323411677	7.60465280071241	0.560353186873632	13.5711779264448	5.93603474787821e-42	7.16487833928731e-40
CIT	3739.52697253474	2.59758369492247	0.192456938198271	13.4969605109608	1.62961755934066e-41	1.95769339628717e-39
C4B	1297.43259782493	-2.61711193204604	0.194547485674352	-13.4523040633214	2.98426399353791e-41	3.56822701349406e-39
C5orf15	6052.50191146178	-1.69703833436848	0.126212055110561	-13.4459290190773	3.25294510211177e-41	3.87130868507395e-39
DEPDC1B	942.008312869417	2.41253354603029	0.179565481817001	13.4353970574866	3.75051237215881e-41	4.442699957867e-39
SIRPB2	487.489806069882	3.61725170593406	0.269282155810501	13.4329424652987	3.87694942263468e-41	4.571210550725e-39
TOP2A	10833.5378362722	2.26694371657866	0.168857739434768	13.4251691640963	4.3059995842476e-41	5.05369573325428e-39
CDCA3	651.033569592133	3.11014967076283	0.231702402919253	13.4230358924966	4.43179084334681e-41	5.1774701467136e-39
STK10	8209.68318825755	1.58703784653681	0.118642757283274	13.3766096041376	8.28407443512511e-41	9.63373551204412e-39
FANCI	3952.54687129044	1.86374271908434	0.139442303886434	13.3656908064444	9.59401548726342e-41	1.11063812013466e-38
SLITRK6	312.851740145477	4.63078529397557	0.346826628311004	13.3518735759328	1.15506755986123e-40	1.33109776536406e-38
PLCG1	11280.3230963236	1.60502565281176	0.120263301308715	13.3459304321912	1.25098799193228e-40	1.43514244047439e-38
C1S	9344.91238200042	-1.95404674559883	0.146472809675421	-13.3406790647967	1.34231197902718e-40	1.53300455075624e-38
CISH	1016.85442241551	-2.32217455289106	0.17453673086497	-13.3047900082855	2.17102226609366e-40	2.46837478003899e-38
ATP6V0A4	285.080773856268	4.26843938660258	0.321168771494776	13.2903313318307	2.63409225692745e-40	2.98155829330792e-38
FRMD6	6057.97779275381	1.61557890360023	0.12169176520495	13.2759920186819	3.19018098459813e-40	3.59502342105068e-38
TGFBI	115908.693468479	1.60243641560999	0.121144520768454	13.2274774413674	6.0897096618529e-40	6.83227866379162e-38
MYO1B	56647.8028737456	1.6387260450802	0.124142769376672	13.2003342064008	8.73466697027029e-40	9.75677624556332e-38
KIF18A	1697.12712492049	1.98436897378959	0.150405631751847	13.1934486141023	9.57048767396848e-40	1.06437196541759e-37
IKBIP	2989.35024203759	2.14959017163301	0.163446983345074	13.1516050503957	1.66599995107517e-39	1.84476898930358e-37
DUSP4	14976.2469186514	1.82223791103599	0.138686385813736	13.1392703064839	1.96108696214692e-39	2.16211959965185e-37
