Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001002032.2	799.1845649	0.749276929	0.146874736	5.101469095	3.37E-07	6.19E-06
NM_001002033.2	808.7538327	0.765390009	0.146794037	5.214040177	1.85E-07	3.52E-06
NM_001002259.2	46.97025169	1.523402669	0.459478152	3.315506214	0.000914773	0.007256273
NM_001002800.2	666.827909	1.51258538	0.164128624	9.215853684	3.09E-20	2.96E-18
NM_001002811.2	256.7182185	-0.641692054	0.212191701	-3.024114754	0.002493618	0.016945969
NM_001002836.3	1107.761635	-0.450465499	0.133825245	-3.366072679	0.000762466	0.00619444
NM_001002857.1	7147.519598	1.39942829	0.104716313	13.36399501	9.82E-41	3.79E-38
NM_001002858.2	7125.608769	1.401034211	0.104681341	13.38380079	7.52E-41	2.98E-38
NM_001002876.2	31.17389544	2.250519797	0.593754661	3.790319374	0.000150454	0.00150803
NM_001003395.2	237.9641647	-1.095340656	0.235896261	-4.643315038	3.43E-06	5.20E-05
NM_001003396.2	230.2132027	-1.112184538	0.241227651	-4.610518462	4.02E-06	5.97E-05
NM_001003397.2	228.4370482	-1.111238342	0.243575176	-4.562198666	5.06E-06	7.36E-05
NM_001003679.3	540.2848778	-0.930378729	0.187582294	-4.959843009	7.06E-07	1.23E-05
NM_001003680.3	364.8949155	-0.775829563	0.192904796	-4.021826198	5.77E-05	0.000647472
NM_001003760.4	113.489671	-1.224836215	0.305154938	-4.01381745	5.97E-05	0.000667598
NM_001003792.2	388.1334553	-1.298402066	0.19783257	-6.563136029	5.27E-11	1.78E-09
NM_001003793.2	388.8943508	-1.297605443	0.197698592	-6.56355429	5.25E-11	1.77E-09
NM_001003794.2	197.1912717	0.716450983	0.234401954	3.056506018	0.00223933	0.015462305
NM_001003795.2	603.0914459	-0.741243497	0.162726876	-4.555138742	5.24E-06	7.59E-05
NM_001003800.1	1617.378098	0.370326415	0.127994776	2.893293209	0.003812252	0.024200841
NM_001003810.1	1230.608279	0.616012439	0.141975608	4.338861063	1.43E-05	0.00018654
NM_001003927.2	57.24001304	1.901067223	0.436467986	4.355570815	1.33E-05	0.000173769
NM_001003940.1	72.17745374	-2.539190076	0.431767816	-5.880915581	4.08E-09	1.02E-07
NM_001003942.1	69.17530451	-2.639127339	0.442886171	-5.958929201	2.54E-09	6.62E-08
NM_001003943.2	72.17745374	-2.539190076	0.431767816	-5.880915581	4.08E-09	1.02E-07
NM_001003962.2	1346.649381	-0.569895482	0.13147696	-4.334565419	1.46E-05	0.000189773
NM_001004065.4	956.6554799	1.449508261	0.144583963	10.02537373	1.18E-23	1.45E-21
NM_001004304.3	635.1563051	-0.491631218	0.153587721	-3.200979977	0.00136961	0.010195262
NM_001004354.2	395.0245734	-1.36968911	0.217477865	-6.298062136	3.01E-10	9.25E-09
NM_001004431.2	485.8243454	-0.616180834	0.218588227	-2.81891135	0.004818682	0.029366993
NM_001004432.3	8.785293058	-3.447265887	1.304973866	-2.641635958	0.008250669	0.045659986
NM_001005290.3	25.86953102	2.819806841	0.676026243	4.171149968	3.03E-05	0.00036401
NM_001005291.2	2893.383687	-0.578742672	0.121173	-4.776168536	1.79E-06	2.91E-05
NM_001005328.1	71.90917493	-4.945495863	0.591395972	-8.36241046	6.14E-17	4.23E-15
NM_001005340.1	79.02874257	-4.2167841	0.577158159	-7.306115375	2.75E-13	1.24E-11
NM_001005354.2	893.4134971	0.539506621	0.158265416	3.408872475	0.00065232	0.005431876
NM_001005373.3	114.8258652	-0.980366046	0.301741945	-3.249021428	0.001158028	0.008865737
NM_001005374.3	105.0979753	-1.123195176	0.314004137	-3.57700758	0.00034755	0.003168936
NM_001005376.2	94.92468656	1.251332966	0.363483291	3.442614827	0.000576119	0.004888363
NM_001005377.2	96.37249394	1.093310078	0.361501457	3.024358706	0.002491608	0.016936601
NM_001005386.2	11469.10883	0.491895477	0.114634615	4.290985563	1.78E-05	0.000226707
NM_001005408.1	1854.666473	0.538189877	0.124877687	4.309736094	1.63E-05	0.000210397
NM_001005413.1	225.9590684	2.968343165	0.264322564	11.23000294	2.90E-29	5.61E-27
NM_001005498.3	428.3587793	0.813215337	0.177458123	4.582576018	4.59E-06	6.73E-05
NM_001005502.2	65.55723388	-2.07782244	0.412776376	-5.033772666	4.81E-07	8.59E-06
NM_001005619.1	10351.98626	0.637951764	0.111863858	5.702930135	1.18E-08	2.74E-07
NM_001005731.2	10359.4978	0.637521076	0.112085947	5.687787744	1.29E-08	2.97E-07
NM_001005735.1	49.17341616	1.284444464	0.446225393	2.878465646	0.003996148	0.025145805
NM_001005752.1	2063.109942	0.353298823	0.123407358	2.862866771	0.004198271	0.026181049
NM_001005914.2	79.55003201	1.423764799	0.378002353	3.766550099	0.000165519	0.001638125
NM_001005915.1	85.51449694	-1.163681813	0.369066167	-3.153043861	0.001615775	0.011746286
NM_001006610.1	249.4340222	-0.843215378	0.217463019	-3.87751159	0.00010553	0.001103323
NM_001006612.1	84.95414761	0.901049183	0.340303806	2.64777874	0.008102253	0.044983405
NM_001006615.2	98.75414671	-1.380850889	0.330934014	-4.17258677	3.01E-05	0.000362766
NM_001006684.1	519.3618675	0.466141496	0.163492163	2.851154985	0.004356073	0.027008926
NM_001006932.2	1100.905757	-0.480791221	0.144805045	-3.320265681	0.000899318	0.007150171
NM_001006944.1	537.1428953	0.967636852	0.171620488	5.63823623	1.72E-08	3.88E-07
NM_001006946.1	4781.926774	1.243512248	0.116586321	10.66602185	1.47E-26	2.40E-24
NM_001007067.1	3118.36885	-0.900871985	0.12052903	-7.474315408	7.76E-14	3.69E-12
NM_001007068.1	3118.36885	-0.900871985	0.12052903	-7.474315408	7.76E-14	3.69E-12
NM_001007069.1	3118.36885	-0.900871985	0.12052903	-7.474315408	7.76E-14	3.69E-12
NM_001007070.1	3118.36885	-0.900871985	0.12052903	-7.474315408	7.76E-14	3.69E-12
NM_001007075.2	586.9494882	-0.453423289	0.161171558	-2.813295931	0.00490365	0.029815591
